id;contenu_id;brutetype_id;Nature données brutes;accessible_id;qualite;adventices;format_id;application_id
1;3;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
2;3;Plans;Données cadastrales ?;A récupérer;;;;SMA module agricole
3;4;données SIG;Localisation sites arriere pays ;A récupérer;;;;SMA module agricole
4;5;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
5;6;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
6;7;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
7;8;variables quantitatives;Nombre de pierres polies ou taillées;A récupérer;;;;SMA module agricole
8;9;variables quantitatives;Nombre de tesson par site identifié;Non essentielles pour la thèse;;;;SMA module démographique
9;10;variables quantitatives;Pièces d'outils en pierre taillée;A récupérer;;;;SMA module agricole
10;11;variables quantitatives;Nbre de sites sur le territoire (158) et évolution en relation avec la céramique;A récupérer;;;;SMA module agricole
11;1;données SIG;Localisation des sites datés par la céramique  sur le territoire de Malia;A récupérer;;;;SMA module agricole
12;2;données SIG;Cartographie des unités phytoécologiques;A récupérer;;;;SMA module agricole
13;12;variables quantitatives;40 échantillons archéobotaniques dans la Maison Pi, 26 aux abords nord-est du palais, 200 échantillons quartier Nu, assemblage dans une canalisation quartier Mu;A récupérer;Intérêt de consulter le détail des assemblages du quartier Nu et de la canalisation pour identifier les adventices;1;;Estimation des rendements
14;14;variables quantitatives;Grains d'amidon identifiés par lieu et par récipient;Disponibles en matériel supplémentaire;Elevée;;Textes (csv, xml, etc.);Estimation des rendements
15;20;variables quantitatives;197 échantillons de restes archéobotaniques avec pour certains présence d'adventices, tableaux par période, carte localisation assemblages;Disponibles au sein de l'article;76 échantillons collectés en 1971 sans stratégie de collecte et le reste avec stratégie de collecte > 2005;1;Codés (pdf);Estimation des rendements
16;15;variables quantitatives;Données archéobotaniques collectées à la villa Zominthos avec présence d'adventices;Disponibles au sein de l'article;Stratégie de collecte systématique. 152 échantillons archéobotaniques;1;Codés (pdf);Estimation des rendements
17;16;variables quantitatives;Non disponibles dans l'article, le tableau est difficile à comprendre;A récupérer;;;;SMA module démographique
18;17;variables quantitatives;Rendements historiques, capacités de stockage palatiales et domestiques ;A récupérer;;;;SMA module démographique
19;18;variables quantitatives;Données sur besoins alimentaires, taille population, capacité pithoi et capacité silos à Phaistos et Malia;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
20;19;variables quantitatives;Capacités de stockage, données rendements historiques et esitmations de surfaces agricoles;Disponibles au sein de l'article;Bonne ?;;Codés (pdf);SMA module démographique
21;21;variables quantitatives;Données polliniques, macrorestes végétaux et charbons;A récupérer;;;;Estimation des rendements
22;22;variables quanti et quali; Données descriptives milieu physique;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module environnement général
23;23;variables quantitatives;Données polliniques, macrorestes végétaux et charbons;A récupérer;;;;Estimation des rendements
24;24;Plans;Référence dans l'article aux données polliniques et de macrorestes végétaux des carottages de 1993 et 2015;A récupérer;;;;Estimation des rendements
25;25;variables quantitatives;Données sédimentaires, ostracodes et foraminifères, datations;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
26;26;variables quanti et quali;Données SIG, datations, données archeologiques;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
27;27;variables quantitatives;Esimation des capacités de stockage à Haghia Triada, rappel données stockage Phaistos;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
28;28;variables qualitatives;Plan des structures et des magasins;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
29;29;variables quantitatives;Nombre, espèces et dimensionnement des restes carpologiques (blé, orge, légumineuses et figues), pas de poids des grains de blé, pas d'adventices;Disponibles au sein de l'article;Echantillons provenant de vases (et non de structures de stockage ou dépôt d'ordures);0;Codés (pdf);SMA module agricole
30;30;variables quantitatives;Assemblage constitué de noyaux d'olive et quelques fruits à coques ;Disponibles au sein de l'article;23 échantillons;0;Codés (pdf);SMA module agricole
31;31;variables quantitatives;Dimensions et volumes des kouloures de Cnossos, Phaistos et Malia;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
32;32;variables quantitatives;985 échantillons de sol prélevés entre 2007 et 2011. Données non publiées ? contacter Alexandra Livarda;A récupérer;Stratégie de collecte systématique au sein de chaque unité de fouilles;;;Estimation des rendements
33;33;variables quantitatives;Tableau des MNI de restes archéobotaniques (y compris adventices) et des charbons collectés sur toute la durée du PALAP project. pas de dimensions ou poids des céréales/légumineuses;Disponibles au sein de l'article;Stratégie de collecte systématique au sein de chaque unité de fouilles. pas de mention de la localisation de l'échantillon dans le tableau des restes végétaux;1;Codés (pdf);Estimation des rendements
34;34;variables qualitatives;Diagramme des données polliniques de la carotte 7 de Kouremenos ;Disponibles au sein de l'article;Données robustes;;Codés (pdf);Estimation des rendements
35;35;variables quantitatives;Diagramme des données polliniques des carottes 2,3,9 (avec dates radiocarbone);A récupérer;Données robustes;;;Estimation des rendements
36;36;variables quantitatives;Diagramme simplifiée des données polliniques + dates radiocarbones;A récupérer;Données robustes;;;Estimation des rendements
37;36;variables quantitatives;Tableau des diatomées collectées dans les carottes;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
38;38;Plans;Carte zone prospectée et de restitutions des occupations;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
39;39;Plans;Cartes des occupations archéologiques de la période protogéométrique à la période hellénistique;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
40;37;variables quantitatives;Nombre de tessons par unité de surface prospectée;Non essentielles pour la thèse;;;Codés (pdf);SMA module démographique
41;37;données SIG;Données SIG du modèle numérique de terrain et modèle numérique d'élevation à partir de la base cartographique NASA SRTM de l'ancien lit de rivère du Yeropotamos et d'anciennes divisions cadatrales de la zone datant de la période vénitienne, ottomane et romaine (Catasto A);A récupérer;;;;SMA module agricole
42;40;Plans;Plan du palais, plan du site topographique, carte des sites de la Messara occidentale d'après Watrous, 2004;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
43;41;données SIG;Unités géologiques de la plaine de la Messara;A récupérer;;;Codés (pdf);SMA module environnement général
44;42;données SIG;Unités géomorpho-stratigraphiques de la plaine de la Messara;A récupérer;;;Codés (pdf);SMA module environnement général
45;43;données SIG;Caractères géomorphologiques géoréférencés de la zone environnant Phaistos (dont l'extension du possible lac minoen);A récupérer;;;Codés (pdf);SMA module environnement général
46;44;données SIG;Image du quadrillage géoréférencé de la colline de Christos Effendi avec terrasses en bleu et section du mur de fortication hellenistique en rouge (?);Non essentielles pour la thèse;;;Codés (pdf);SMA module démographique
47;45;variables quantitatives;Tableau de comptage des diatomées;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
48;45;Photos;Photo de la coupe stratigraphique;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
49;46;données SIG;Carte de localisation des occupations archéologiques dans la plaine de la Messara;Non essentielles pour la thèse;;;Codés (pdf);SMA module démographique
50;47;variables qualitatives;Inscription ICret II.10 1. de 80 plèthres (7ha) de vignes et 6 plithres de terres arables, allotissement à 8 proxènes (4 à 22 plèthes) et production de 7 à 38 hl de vin;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module agricole
51;47;variables qualitatives;"Polybe (VI 45–47) : concentration ""infinie"" de la propriété foncière en Crète";Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module agricole
52;48;variables qualitatives;Estimation de la taille moyenne d'exploitation en Grèce classique/hellénistique entre 40 et 60 plèthres (3,6 à 5,4 ha) : quelle source ?;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module agricole
53;49;données SIG;Orthophotos de la zone d'extension de la cité hellénistique de Phaistos avec son mur de fortification et images de prospection magnétique;Disponibles au sein de l'article;;;Codés (pdf);SMA module agricole
54;50;variables quantitatives;Données NMI d'ovis, capra, sus et bos collectés au Néolithique Récent à Phaistos et à la période minoenne à Haghia Triada;Disponibles au sein de l'article;;;Codés (pdf);SMA module agricole
55;51;variables qualitatives;Mention d'amphores retrouvées sur le site de Kommos, amphore à ouverture bilobée datant du MM, amphore à étrier apparaissant dès la période néopalatiale et short necked amphora datant du MR III et Subminoen;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module démographique
56;52;variables quanti et quali;Zonage environnemental : 3 zones avec des données descriptives sur la géologie, le climat, l'hydrologie, les types de sols et leur potentielle fertilité. appendice : données pluviométrie;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
57;52;variables quantitatives;Données en appendice (identifiées dans la prospection botanique) de présence et fréquence par zone et type d'usage des plantes vasculaires (famille, genre, espèces, sous-espèces et variété), ;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
58;52;variables quantitatives;Données en appendice B des arbres et arbustes (en relation avec l'altitude);Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
59;52;variables quantitatives;Données (présence/fréquence) des  herbes courantes dans 40 sites échantillonnés quantitativement. résultats statistiques d'association. tableaux d'espèces typiques par type d'habitats (champs cultivés, zones humides, zone côtière). cartes de répartition de certaines espèces botaniques en appendice B;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
60;52;variables quantitatives;Données de surface et de production par type de culture dans la Messara en 1924-1929. données de rendement, productivité de travail, impact de la fertilisation, maladies et adventices pour les céréales, les légumineuses, l'olivier et la vigne. répartition de la SAU pour des communes sélectionnées dans les trois zones par type d'usage agricole;Disponibles au sein de l'article;;;Codés (pdf);SMA module agricole
61;52;variables quantitatives;Tableau de présence de restes archéobotaniques par type de cultures (céréales, légumineuses, olivier, vigne) dans la Messara (mais absence de mention des autres plantes associées);Disponibles au sein de l'article;Peu de macrofossiles végétaux (graines ou charbon de bois) ont été retrouvés dans les horizons datables dans la Messara occidentale;0;Codés (pdf);Estimation des rendements
62;53;données SIG;Carte des sites identifiés dans la prospection de 22 km² autour de Phaistos. inventaire des sites en appendice D;A récupérer;;;Codés (pdf);SMA module démographique
63;53;variables quantitatives;Données des tessons collectés sur site et hors site dans la zone de prospection;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
64;54;variables quantitatives;Tableau de typologie de sites et de leur taille et population estimée par site ;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
65;55;variables quantitatives;Nombre de sites par période et type de sols, nombre de sites réels et prévisionnels selon modèle préservation pour 4 types de sols et 10 périodes;Disponibles au sein de l'article;;;Codés (pdf);SMA module agricole
66;55;données SIG;Carte des sols de la Messara occidentale, carte des sites du MA II en fonction du classement de sols selon le potentiel de préservation ;A récupérer;;;Codés (pdf);SMA module agricole
67;56;variables quantitatives;Données ethnographiques de rendement en céréales, légumineuses, olives et raisins;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
68;56;variables qualitatives;Cycles et systèmes de culture (pré-mécanisation) des céréales, légumineuses, oliviers, vignes;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
69;56;variables qualitatives;Pratiques de fumure, élevage, collecte de bois pour combustible, collecte et usage de plantes cultivées et sauvages;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module agricole
70;56;variables qualitatives;Echanges marchands de produits cultivés et de biens achetés avant mécanisation;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module démographique
71;57;variables quantitatives;Nombre, taille, type de sites au Néolithique et au MA I, répartition des sites MA I par type de terres;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
72;57;données SIG;Cartes de localisation des sites au Néolithique et au MA I. carte de classification des terres à ces périodes;A récupérer;;;Codés (pdf);SMA module agricole
73;58;variables quantitatives;Nombre, taille, type de sites au MA II, répartition des sites MA II par taille et type de terres;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
74;58;données SIG;Cartes de localisation des sites au MA II et des objets associés. carte des sites en fonction de la classification des terres;A récupérer;;;Codés (pdf);SMA module agricole
75;59;variables quantitatives;Nombre, taille, type de sites au MM IA, répartition des sites MM IA par taille et type de terres;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
76;59;données SIG;Cartes de localisation des sites au MM IA et des objets associés;A récupérer;;;Codés (pdf);SMA module démographique
77;60;variables quantitatives;Nombre, taille, type de sites au MM IB-II, au MM III-MR I, au MR II-III A1, au MR IIIA2-B, répartition des sites aux différentes périodes par taille et type de terres;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
78;60;données SIG;Cartes de localisation des sites au MM IB-II, au MM III-MR I, au MR II-IIIA1, au MR IIIA2-B. carte de densités de tessons de la période protopalatiale, à la période néopalatiale et au MR IIIA2-Bdans la zone prospectée;A récupérer;;;Codés (pdf);SMA module démographique
79;60;données SIG;Carte du territoire minimal hypothétique du centre palatial de Phaistos à la période protopalatiale en terres arables disponibles (en grisé) : chaque carré numéroté représente un kilomètre carré (100 hectares).;A récupérer;;;Codés (pdf);SMA module agricole
80;60;données SIG;Carte des centres secondaires dans la zone de Phaistos à la période néopalatiale;Non essentielles pour la thèse;;;Codés (pdf);SMA module démographique
81;61;variables quantitatives;Nombre, taille, type de sites du MR IIIC à la période hellénistique, répartition des sites aux différentes périodes par taille et type de terres;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
82;61;données SIG;Cartes de localisation des sites du MR IIIC à la période hellénistique. carte de densités de tessons aux différentes périodes dans la zone prospectée;A récupérer;;;Codés (pdf);SMA module démographique
83;61;données SIG;Carte des fermes hellénistiques;Non essentielles pour la thèse;;;Codés (pdf);SMA module agricole
84;62;variables quantitatives;Données de production de céréales pendant les périodes vénétiennes et ottomanes (notamment communes de Kourtes (p.562) et Raftis (p.573) pendant la période vénitienne et données des monastères Apezanes et Vrontisi pendant la période vénitienne);Disponibles au sein de l'article;;;Textes (csv, xml, etc.);Estimation des rendements
85;63;variables qualitatives;Diagramme de synthèse d'évolution de la complexité sociale correlant l'environnement, l'exploitation agricole, la population et les échanges;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
86;64;variables qualitatives;Pratiques agricoles sous la période ottomane jusqu'au XIXe siècle;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module agricole
87;65;variables quanti et quali;Pratiques agricoles au XIXès siècle et données de rendement du blé, orge et avoine;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);Estimation des rendements
88;66;variables qualitatives;Description des systèmes de culture prémécanisés en Grèce. conditions agronomiques de productivité pour le blé, l'orge et les légumineuses;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);Estimation des rendements
89;66;variables quantitatives;Données de rendement actuels en agriculture pluviale à Thera pour l'orge et les céréales;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
90;66;variables quantitatives;Tableau de présence/absence des restes de cultures (céréales, légumineuses) à Phaistos, Haghia Triada (et Palaikastro);Disponibles au sein de l'article;Données provenant de méthodes non systématiques d'échantillonage et de tamisage;0;Codés (pdf);Estimation des rendements
91;67;variables qualitatives;Interprétation des systèmes de culture et pratiques agricoles à partir des données archéobotaniques d'Akrotiri (et notamment des adventices). liste des caractéristiques botaniques et pédologiques des adventices identifiés;Disponibles au sein de l'article;;1;Textes (csv, xml, etc.);Estimation des rendements
92;67;variables quantitatives;Données modernes de rendement (1964) avec différents régimes de fertilisation, jachère et rotation;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
93;67;variables quantitatives;Données de rendement (blé et orge) en agriculture prémécanisée;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
94;67;variables quantitatives;Données de consommation en kg/hab/an en 1948 (dont céréales et légumineuses);Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
95;68;variables quantitatives;Données archéozoologiques : nombre d'ossements collectés par type d'animal, nombre d'animaux identifiés, par période et par emplacement sur le site de Phaistos;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module agricole
96;69;variables quantitatives;Données anthracologiques et archéobotaniques des niveaux de l'Age du Fer et données complémentaires sur l'Age du Bronze;Disponibles au sein de l'article;;0;Codés (pdf);Estimation des rendements
97;70;variables quantitatives;Données anthracologiques et archéobotaniques des niveaux de l'Age du Bronze. assemblage carpologique limité aux espèces cultivées;Disponibles au sein de l'article;Pas de stratégie de collecte systématique des graines carbonisées. pas d'identification d'adventices;0;Codés (pdf);Estimation des rendements
98;71;variables quantitatives;Données archéobotaniques : un tableau de synthèse et des tableaux par bâtiment du MR IB et deux tableaux de données datées du MR IA et MM III. quelques restes de plantes sauvages et adventices;Disponibles au sein de l'article;Stratégie de collecte systématique. grande variété de taxons mais le matériel est faible en quantité et des biais de conservation ont été notés;1;Codés (pdf);Estimation des rendements
99;72;variables quantitatives;Données archéobotaniques : tableau de synthèse des restes archéobotaniques collectés dans les 136 échantillons;Disponibles au sein de l'article;Stratégie de collecte systématique mais perte d'échantillons en raison d'un non traitement immédiat. pauvreté globale des assemblages;0;Codés (pdf);Estimation des rendements
100;72;variables quantitatives;Données anthracologiques : tableau de synthèse;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
101;73;variables quantitatives;Données archéobotaniques du bloc : tableau de synthèse des restes archéobotaniques collectés par pièce;Disponibles au sein de l'article;Stratégie de collecte systématique au sein du bloc AF;0;Codés (pdf);Estimation des rendements
102;74;variables quantitatives;Données archéobotaniques collectées dans la fouille de l'habitat domestiques du MA I. tableau de synthèse. présence d'adventices;Disponibles au sein de l'article;Stratégie de collecte systématique;1;Codés (pdf);Estimation des rendements
103;75;variables quanti et quali;Données de dispersion céramique sur l'évolution de la taille de l'occupation à Phaistos, données d'estimations quantitatives de la population sur la période;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
104;76;variables quantitatives;Données de comptage archéobotaniques. mesures des graines de lin à Petras. présence de taxons sauvages;Disponibles au sein de l'article;Stratégie de collecte au jugé sur Kophinas et Cnossos Anetaki. stratégie de collecte systématique à Petras. 1005 échantillons. 1182 restes archébotaniques;1;Codés (pdf);Estimation des rendements
105;78;variables qualitatives;Mention des données archéobotaniques collectées à Koumasa et d'une tombe et d'un bâtiment à Petras. pas de publication des données brutes de comptage. mention de taxons d'herbes. photos avec mesures de grains collectés;Disponibles au sein de l'article;64 échantillons à Koumasa avec 72 items. 408 échantillons avec analyse en cours à Petras;1;Fermés/propriétaires;Estimation des rendements
106;79;variables quanti et quali;Données d'estimation du peuplement et de la superficie concernée par l'occupation de la colline de Christos Effendi Phaistos à la période protopalatiale;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
107;80;variables quanti et quali;Données de comptage archéobotaniques de l'assemblage collecté sous la villa romaine Dionysos à Cnossos. présence d'adventices;Disponibles au sein de l'article;Stratégie de collecte non systématique, selon l'appréciation des fouilleurs. 13 échantillons. volume modéré mais diversité des plantes ;1;Codés (pdf);Estimation des rendements
108;81;variables quantitatives;Données de comptage archéobotaniques de l'assemblage collecté à Palaikastro dans le bâtiment 1. présence d'adventices;Disponibles au sein de l'article;Stratégie de collecte non systématique sauf dans une tranchée (EQ94);1;Codés (pdf);Estimation des rendements
109;82;variables quanti et quali;Données de comptage des assemblahes archéobotaniques collectés par phase et par échantillon. présence importante d'adventices. confrontation avec les données antérieures collectées dans les années 60 par J.D. Evans;Disponibles au sein de l'article;Stratégie de collecte systématique sur la majorité des niveaux;1;Codés (pdf);Estimation des rendements
110;83;variables quanti et quali;Données de comptable des assemblages archéobotaniques collectés par puit et par phase. assemblage peu diversifié;Disponibles au sein de l'article;Stratégie de collecte non systématique. 52 échantillons dans le puits 605 et 16 dans le puits 576;0;Codés (pdf);Estimation des rendements
111;84;variables qualitatives;Collecte dans le bâtiment d'un assemblage archéobotanique limité. pas de données de comptage, mention dans le texte des types de plantes retrouvées (mais pas d'adventices);A récupérer;;0;Fermés/propriétaires;Estimation des rendements
112;85;variables quanti et quali;Données archéobotaniques collectées dans la partie orientale du palais de Monastiraki;Disponibles au sein de l'article;Pas de stratégie de collecte systématique. 14036 restes comptabilisés;0;Codés (pdf);Estimation des rendements
113;86;variables quantitatives;Données archéobotaniques de Cnossos étudiées par A. Sarpaki (2009). identification des adventices;Disponibles au sein de l'article;Pas de stratégie de collecte (sauf sur la fouille de sauvetage en 1997). ;1;Codés (pdf);Estimation des rendements
114;87;variables quantitatives;Données archéobotaniques collectées à Cnossos par trois sources : cache de grains récupérés par J. Evans et étudiés par Helbaeck (produits de battage de récolte), matériel étudié par Jahrman et données provenant d'une fouille de sauvetage de 1997 (Efstratiou et al. 2004);Disponibles au sein de l'article;Pas de stratégie de collecte (sauf sur la fouille de sauvetage en 1997). 15 échantillons acéramique, 9 NA I, 9 NA II, 8 NM, 5 NR;0;Codés (pdf);Estimation des rendements
115;88;variables quantitatives;Données archéobotaniques datées du Néolithique collectées par les trois sources mentionnées dans l'article de 2009. tableaux plus complets des adventices;Disponibles au sein de l'article;Pas de stratégie de collecte (sauf sur la fouille de sauvetage en 1997);1;Codés (pdf);Estimation des rendements
116;89;variables qualitatives;Carte des territoires des Etats minoens au MR;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
117;90;variables qualitatives;Mention des restes archéobotaniques mais aucun tableau : raisins, olive, céréales, orge à 6 rangs;Disponibles au sein de l'article;Aucune information;0;Textes (csv, xml, etc.);SMA module agricole
118;91;variables qualitatives;Analyse sans les données brutes de l'assemblage archéozoologique, mention de pépins de raisins et noyaux d'olive carbonisés;Non essentielles pour la thèse;360 échantillons de sols collectés et analysés;0;;SMA module agricole
119;92;variables quantitatives;Assemblage archébotanique collecté dans l'abri sous roche, très limité, présence de fragments de noyaux d'olive et pépins de raisins;Disponibles au sein de l'article;;0;Codés (pdf);SMA module agricole
120;93;variables quanti et quali;Assemblage de 400 spécimens avec absence de céréales mais présence d'adventices (et orge, légumineuses, fruits, olive, raisins);A récupérer;Stratégie de collecte systématique;1;;Estimation des rendements
121;94;variables quanti et quali;Petit assemblage de noyaux d'olive, restes d'amandes, de raisins et de figues localisé dans la pièce  et hors du bâtiment;Disponibles au sein de l'article;Faible quantité de matériel collecté avec présence de petites masses non identifiées;0;Codés (pdf);SMA module agricole
122;95;variables qualitatives;Mention de deux noyaux d'olive et une impression de feuille de vigne dans le niveau 5 daté du Minoen Ancien ;Disponibles au sein de l'article;;0;;SMA module agricole
123;96;variables qualitatives;Fragments d'olivier et de cyprès carbonisé;Disponibles au sein de l'article;;0;;SMA module agricole
124;97;variables quantitatives;Données archéozoologiques et malacologiques collectées à Sissi;Disponibles au sein de l'article;Stratégie de collecte systématique;;Codés (pdf);SMA module agricole
125;98;variables quantitatives;Données chiffrées d'estimations de stockage, rations alimentaire et surfaces cultivées pour les sites palatiaux et quelques sites secondaires;Disponibles au sein de l'article;;;Codés (pdf);SMA module agricole
126;99;variables qualitatives;Assemblage archéobotanique très limité : noyau d'olive, amande et une légumineuse non identifiée;Disponibles au sein de l'article;32 échantillons de sols prélevés;0;Codés (pdf);SMA module agricole
127;100;variables qualitatives;3 profils de sol dans la zone Vronda Kastro;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
128;101;variables qualitatives;Présentation descriptive des assemblages, sans tableau des données brutes. pas de mention d'adventices;A récupérer;;;;Estimation des rendements
129;102;variables qualitatives;Flore de la Crète;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
130;103;variables qualitatives;Flore de la Crète;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
131;104;variables qualitatives;Flore de la Crète;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
132;105;variables qualitatives;Flore de la Crète;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
